"country","year","gdp","growth","underval"
"BEN",1995,1183.45703125,0.0118989944458008,-0.0747519135475159
"BEN",2000,1295.564453125,0.0180996898561716,-0.0899072512984276
"BFA",1960,682.964294433594,-0.0265072826296091,-0.12405326962471
"BFA",1965,670.490905761719,-0.00344724650494754,-0.133392304182053
"BFA",1970,693.08740234375,0.00671939831227064,-0.060842040926218
"BFA",1975,705.512023925781,0.00356702809222043,-0.127440840005875
"BFA",1980,772.31494140625,0.0180212017148733,0.000210187950870022
"BFA",1985,843.778015136719,0.0175982471555471,-0.0387970432639122
"BFA",1990,846.028381347656,0.000708293926436454,-0.11146105825901
"BFA",1995,846.913696289062,9.67979431152344e-05,0.140825271606445
"BFA",2000,1001.98968505859,0.0334171280264854,0.276311457157135
"BGD",1975,1335.45886230469,0.00947999954223633,0.526442229747772
